Lambda = 5; Mistakes = 11 
Lambda = 10; Mistakes = 11 
Lambda = 15; Mistakes = 11 
Lambda = 20; Mistakes = 11 
Lambda = 25; Mistakes = 11 
Lambda = 30; Mistakes = 11 
Lambda = 40; Mistakes = 11 
Lambda = 50; Mistakes = 11 
Lambda = 60; Mistakes = 11 
Lambda = 70; Mistakes = 11 
Lambda = 80; Mistakes = 11 
Lambda = 100; Mistakes = 11 
Lambda = 120; Mistakes = 11 
Lambda = 150; Mistakes = 11 
Lambda = 180; Mistakes = 11 
Lambda = 200; Mistakes = 11 
