Lambda = 5; Mistakes = 21 
Lambda = 10; Mistakes = 23 
Lambda = 15; Mistakes = 23 
Lambda = 20; Mistakes = 24 
Lambda = 25; Mistakes = 23 
Lambda = 30; Mistakes = 22 
Lambda = 40; Mistakes = 22 
Lambda = 50; Mistakes = 22 
Lambda = 60; Mistakes = 22 
Lambda = 70; Mistakes = 22 
Lambda = 80; Mistakes = 23 
Lambda = 100; Mistakes = 22 
Lambda = 120; Mistakes = 22 
Lambda = 150; Mistakes = 19 
Lambda = 180; Mistakes = 19 
Lambda = 200; Mistakes = 18 
