Lambda = 5; Mistakes = 14 
Lambda = 10; Mistakes = 14 
Lambda = 15; Mistakes = 14 
Lambda = 20; Mistakes = 14 
Lambda = 25; Mistakes = 14 
Lambda = 30; Mistakes = 14 
Lambda = 40; Mistakes = 14 
Lambda = 50; Mistakes = 14 
Lambda = 60; Mistakes = 14 
Lambda = 70; Mistakes = 14 
Lambda = 80; Mistakes = 14 
Lambda = 100; Mistakes = 14 
Lambda = 120; Mistakes = 14 
Lambda = 150; Mistakes = 14 
Lambda = 180; Mistakes = 14 
Lambda = 200; Mistakes = 14 
