Lambda = 5; Mistakes = 31 
Lambda = 10; Mistakes = 31 
Lambda = 15; Mistakes = 31 
Lambda = 20; Mistakes = 31 
Lambda = 25; Mistakes = 31 
Lambda = 30; Mistakes = 31 
Lambda = 40; Mistakes = 31 
Lambda = 50; Mistakes = 31 
Lambda = 60; Mistakes = 31 
Lambda = 70; Mistakes = 31 
Lambda = 80; Mistakes = 31 
Lambda = 100; Mistakes = 31 
Lambda = 120; Mistakes = 31 
Lambda = 150; Mistakes = 31 
Lambda = 180; Mistakes = 31 
Lambda = 200; Mistakes = 31 
