Lambda = 5; Mistakes = 19 
Lambda = 10; Mistakes = 19 
Lambda = 15; Mistakes = 19 
Lambda = 20; Mistakes = 19 
Lambda = 25; Mistakes = 19 
Lambda = 30; Mistakes = 19 
Lambda = 40; Mistakes = 19 
Lambda = 50; Mistakes = 19 
Lambda = 60; Mistakes = 19 
Lambda = 70; Mistakes = 19 
Lambda = 80; Mistakes = 19 
Lambda = 100; Mistakes = 19 
Lambda = 120; Mistakes = 19 
Lambda = 150; Mistakes = 19 
Lambda = 180; Mistakes = 19 
Lambda = 200; Mistakes = 19 
