Lambda = 5; Mistakes = 32 
Lambda = 10; Mistakes = 32 
Lambda = 15; Mistakes = 32 
Lambda = 20; Mistakes = 32 
Lambda = 25; Mistakes = 32 
Lambda = 30; Mistakes = 32 
Lambda = 40; Mistakes = 32 
Lambda = 50; Mistakes = 32 
Lambda = 60; Mistakes = 32 
Lambda = 70; Mistakes = 32 
Lambda = 80; Mistakes = 32 
Lambda = 100; Mistakes = 32 
Lambda = 120; Mistakes = 32 
Lambda = 150; Mistakes = 32 
Lambda = 180; Mistakes = 32 
Lambda = 200; Mistakes = 32 
